"crop_name","year","country_iso2","country_name","c_area_harvested","c_production","clp_import_quantity","clp_import_value","clp_export_quantity","clp_export_value","fs_food_supply_quantity_g","fs_food_supply_kcal","fs_protein_supply_quantity","fs_fat_supply_quantity","vap_gross_production_value_us","cu_amount_countries","gp_index_crops","gp_index_crops_lives_products","gp_index_custom","gp_index_food_supply","gp_index_value_agricultural_production","compose_index"
"Spinach","2012","","World",884621,22141613,152088,207653,138198,198146,296.09,73,3.93,0.61,19161.729757,1,0.00128673508586748,0.000106255707907271,0.4,0.053019801980198,0.0219408348532558,0.476353627627229
"Spinach","2013","","World",919494,23274869,165829,252110,152436,245193,NA,NA,NA,NA,12219.898208,1,0.00135115520521993,0.000128429597609975,0.4,NA,0.0139921080489718,0.415471692851802
"Strawberries","2010","","World",317621,6567872,719726,1983416,817118,1866157,65.96,28,0.34,0.33,12348.804812,1,0.000389293666584298,0.000903400535085674,0.4,0.0127708560169716,0.0141397122325696,0.428203262451211
"Strawberries","2011","","World",338249,6726355,774413,2269272,770062,2140292,68.08,29,0.35,0.34,20216.916509,1,0.000400483293238369,0.00102913805920687,0.4,0.0131783723157509,0.0231490737971057,0.437757067465302
"Strawberries","2012","","World",345348,7382136,919454,2502883,852369,2324027,70.36,30,0.36,0.35,13800.147367,1,0.000435950298650891,0.0011282140900409,0.4,0.013612908338929,0.0158015683850412,0.430978641112662
"Strawberries","2013","","World",369705,7877787,887968,2530292,839151,2330136,NA,NA,NA,NA,15333.621751,1,0.000465386135254573,0.00112654970100275,0.4,NA,0.0175574693823132,0.419149405218571
"Strawberry tree","2010","","World",4539566,28282688,1984150,1889942,1948145,1651048,65.96,28,0.34,0.33,9823.729645,1,0.00211566594059493,0.0009832764004265,0.4,0.0127708560169716,0.0112483812457703,0.427118179603763
"Strawberry tree","2011","","World",4833356,29331448,2444537,2452088,2396751,2119691,68.08,29,0.35,0.34,11227.146752,1,0.00221148818396741,0.00124833532395876,0.4,0.0131783723157509,0.0128553604842119,0.429493556307889
"Strawberry tree","2012","","World",5040661,30532406,2463747,2604108,2385596,2161214,70.36,30,0.36,0.35,11228.12823,1,0.00230334047387379,0.00126887290391189,0.4,0.013612908338929,0.0128564843231341,0.430041606039849
"Strawberry tree","2013","","World",5117804,31536972,2523807,2858010,2379246,2326015,NA,NA,NA,NA,11305.770503,1,0.002366845439896,0.00134817464554388,0.4,NA,0.0129453884130972,0.416660408498537
