"crop_name","year","country_iso2","country_name","c_area_harvested","c_feed","c_production","c_yield","cb_domestic_supply_quantity","cb_export_quantity","cb_feed","cb_food_supply_quantity","cb_import_quantity","cb_losses","cb_other_uses","cb_processing","cb_production","cb_seed","cb_stock_variation","clp_export_quantity","clp_export_value","clp_import_quantity","clp_import_value","fs_fat_supply_quantity","fs_food_supply_kcal","fs_food_supply_quantity_g","fs_food_supply_quantity_kg","fs_food_supply_quantity_t","fs_protein_supply_quantity","vap_gross_production_value_2004_2006_i","vap_gross_production_value_2014_2006_us","vap_gross_production_value_us","vap_net_production_value_2004_2006_i","cu_amount_countries"
"Cranberries","2013","","World",40260,NA,628363,156076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160215,626700,135258,562044,NA,NA,NA,NA,NA,NA,521153.576746,431.992789,720.149373,521153.576746,1
"Cress","2010","","World",18400753,NA,259721091,141147,816548019,41024281,45629760,701058269,39726312,69092141,366888,527258,817469827,102891,376161,3251236,3268037,2399248,2480279,0.59,71,283.67,103.54,701058269.4,3.79,48942102.160999,47492.345654,77665.050267,44328058.425292,1
"Cress","2011","","World",18372783,NA,260792753,141945,840967335,43117429,51203729,716309449,41537316,72857461,298127,493642,842433091,107072,114357,3375853,3295271,2608363,2709243,0.6,71,286.58,104.6,716309449.49,3.82,49144047.215957,47923.850719,89418.891726,44430921.875184,1
"Cress","2012","","World",19028297,NA,271900678,142893,864106729,43228665,47208012,747750498,41880443,68494011,419874,468813,865556348,110043,-101397,3002047,3004214,2451482,2586994,0.61,73,296.09,108.07,747750498.18,3.93,51237235.617964,48478.291234,92384.308643,46149320.475429,1
"Cress","2013","","World",19757918,NA,277946312,140676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2883011,3301102,2625756,3170254,NA,NA,NA,NA,NA,NA,52376481.06523,49748.737805,95421.558641,47072746.80656,1
"Cucumbers and gherkins","2010","","World",2020216,NA,62415690,308956,816548019,41024281,45629760,701058269,39726312,69092141,366888,527258,817469827,102891,376161,2320935,2049820,2388444,2223302,0.59,71,283.67,103.54,701058269.4,3.79,12392385.649059,14279.888087,24700.688661,12094897.786064,1
"Cucumbers and gherkins","2011","","World",2090097,NA,67772544,324255,840967335,43117429,51203729,716309449,41537316,72857461,298127,493642,842433091,107072,114357,2428729,2028932,2325189,2080137,0.6,71,286.58,104.6,716309449.49,3.82,13455967.584372,15452.037112,35421.628214,13059469.945721,1
"Cucumbers and gherkins","2012","","World",2115757,NA,70694189,334132,864106729,43228665,47208012,747750498,41880443,68494011,419874,468813,865556348,110043,-101397,2327897,2141337,2392303,2249573,0.61,73,296.09,108.07,747750498.18,3.93,14036048.489347,15926.532442,37171.988026,13724396.555242,1
"Cucumbers and gherkins","2013","","World",2110656,NA,73195785,346792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2431875,2384087,2454036,2557353,NA,NA,NA,NA,NA,NA,14532730.241753,16277.920153,37419.018544,14207090.211831,1
"Cumin","2010","","World",943046,NA,827412,8774,4634844,1268658,NA,4441274,1219247,79854,140356,NA,4709073,NA,-24818,264610,510640,287213,493850,0.16,6,1.8,0.66,4441274,0.19,4573286.673893,713.277734,1717.742721,4573259.037813,1
"Cumin","2011","","World",1082838,NA,952224,8794,5454178,1408666,NA,5218015,1393715,88886,167560,NA,5493342,NA,-24213,295131,598896,307764,607009,0.19,7,2.09,0.76,5218015,0.23,5263145.062713,802.040822,2020.413653,5263116.873911,1
"Cumin","2012","","World",1040955,NA,923817,8875,5398395,1584370,NA,5145518,1510444,92186,180290,NA,5490116,NA,-17795,317335,571680,333008,607900,0.19,7,2.04,0.74,5145518,0.22,5106135.213192,758.05124,1758.201376,5106113.546506,1
"Cumin","2013","","World",999465,NA,906033,9065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394543,742271,406832,764959,NA,NA,NA,NA,NA,NA,5007840.879241,742.033978,1714.573771,5007818.081919,1
"Currants","2010","","World",123585,NA,637282,51566,181139085,26041481,161854,163015130,26374212,16397208,154530,1918455,180619594,NA,186760,15453,34222,18291,34127,0.33,28,65.96,24.08,163015129.55,0.34,570346.294755,462.851667,914.947482,570346.294755,1
"Currants","2011","","World",114353,NA,638118,55803,190261074,27496754,83648,170163646,28136690,16996917,159525,3378859,189917005,NA,-295867,15217,43054,21468,48934,0.34,29,68.08,24.85,170163646.03,0.35,571094.578076,472.35198,1277.288634,571094.578076,1
"Currants","2012","","World",115158,NA,643101,55845,197736228,28198651,44344,177688423,30229947,17335658,133616,3146881,195310537,NA,394395,17347,37042,20374,41380,0.35,30,70.36,25.68,177688423.09,0.36,575554.165355,458.78479,1235.90376,575554.165355,1
"Currants","2013","","World",116166,NA,685109,58977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12689,32946,22780,47752,NA,NA,NA,NA,NA,NA,613150.199892,497.539158,1231.997558,613150.199892,1
"Dates","2010","","World",1282856,NA,7525890,58665,7265299,677404,261509,5821495,610155,568888,613412,0,7340198,NA,-7650,666697,775964,612273,733721,0.01,4,2.36,0.86,5821494.55,0.04,3843502.346667,6456.447742,8308.524715,3683391.89312,1
"Dates","2011","","World",1126732,NA,7262843,64459,6997858,721167,278236,6131926,738124,551692,36074,0,6975836,NA,5065,710384,902189,722310,834384,0.01,4,2.45,0.9,6131926.48,0.04,3709163.002448,6732.716689,11251.138389,3538977.737881,1
"Dates","2012","","World",1121587,NA,7430261,66248,7126565,780022,284378,6322674,703277,510280,9435,-65,7200760,NA,2550,764529,875561,689734,787449,0.01,4,2.5,0.91,6322673.59,0.04,3794664.252297,6630.319438,11660.882946,3623896.427678,1
"Dates","2013","","World",1160096,NA,7517294,64799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825271,993102,799678,946399,NA,NA,NA,NA,NA,NA,3839112.339793,6922.666653,12282.658151,3666829.205335,1
"Devil's cotton","2010","","World",174067,NA,260086,14942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124831.792999,66.835083,111.560907,124831.792999,1
"Devil's cotton","2011","","World",177187,NA,273679,15446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131356.147121,72.206967,134.392861,131356.147121,1
"Devil's cotton","2012","","World",167191,NA,260262,15567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124916.57371,68.003031,119.172125,124916.57371,1
"Devil's cotton","2013","","World",178613,NA,253350,14184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121598.753326,65.21577,105.200735,121598.753326,1
"Dill","2010","","World",927593,NA,2103629,22678,4634844,1268658,NA,4441274,1219247,79854,140356,NA,4709073,NA,-24818,379108,1301953,325132,1186048,0.16,6,1.8,0.66,4441274,0.19,1462352.244288,1203.742357,2146.763054,1462351.842487,1
