crop,country,year,import_quantity_global
Maize,World,2012,0.870466925
Maize,World,2013,0.886330268
Mamey sapote,World,2010,0.998433834
Mamey sapote,World,2011,0.998517925
Mamey sapote,World,2012,0.998723226
Mamey sapote,World,2013,0.998715792
Mammee,World,2010,0.9999038
Mammee,World,2011,0.999933885
Mammee,World,2012,0.999920676
Mammee,World,2013,0.99974272
Mandarines,World,2010,0.933733862
Mandarines,World,2011,0.929032798
Mandarines,World,2012,0.930078685
Mandarines,World,2013,0.933223011
Mango,World,2010,0.923493504
Mango,World,2011,0.923023641
Mango,World,2012,0.914773807
Mango,World,2013,0.929508846
Mangosteen,World,2010,0.926187613
Mangosteen,World,2011,0.9288852
Mangosteen,World,2012,0.924225863
Mangosteen,World,2013,0.939899313
Marjoram,World,2010,0.983210511
Marjoram,World,2011,0.983341078
Marjoram,World,2012,0.991935669
Marjoram,World,2013,0.993598358
Mashua,World,2010,0.994767065
Mashua,World,2011,0.999902925
Mashua,World,2012,0.999571415
Mashua,World,2013,0.99979258
Mat bean,World,2010,0.871852139
Mat bean,World,2011,0.845064177
Mat bean,World,2012,0.815996337
Mat bean,World,2013,0.796158875
Mate,World,2010,0.848484947
Mate,World,2011,0.863172926
Mate,World,2012,0.865839223
Mate,World,2013,0.861310318
Mauka,World,2010,0.994767065
Mauka,World,2011,0.999902925
Mauka,World,2012,0.999571415
Mauka,World,2013,0.99979258
Medlar,World,2010,0.951329905
Medlar,World,2011,0.949904115
Medlar,World,2012,0.944716439
Medlar,World,2013,0.931620208
Melons,World,2010,0.937903641
Melons,World,2011,0.929443079
Melons,World,2012,0.934648304
Melons,World,2013,0.925216172
Mombin,World,2010,0.998337634
Mombin,World,2011,0.99845181
Mombin,World,2012,0.998643901
Mombin,World,2013,0.998458513
Mung bean,World,2010,0.722242341
Mung bean,World,2011,0.72417991
Mung bean,World,2012,0.693519174
Mung bean,World,2013,0.677222405
Naranjilla,World,2010,0.998215198
Naranjilla,World,2011,0.997714216
Naranjilla,World,2012,0.997925315
Naranjilla,World,2013,0.99687378
New Zealand Spinach,World,2010,0.953520573
New Zealand Spinach,World,2011,0.954659377
New Zealand Spinach,World,2012,0.952738674
New Zealand Spinach,World,2013,0.93277449
Noog,World,2010,0.997830846
Noog,World,2011,0.996893032
Noog,World,2012,0.996478982
Noog,World,2013,0.99655684
Nutmeg,World,2010,0.715815858
Nutmeg,World,2011,0.709180049
Nutmeg,World,2012,0.725073394
Nutmeg,World,2013,0.720006863
Oats,World,2010,0.798393904
Oats,World,2011,0.786511009
Oats,World,2012,0.791924795
Oats,World,2013,0.768760592
Oca,World,2010,0.994767065
Oca,World,2011,0.999902925
Oca,World,2012,0.999571415
Oca,World,2013,0.99979258
Oil palm,World,2010,0.971095892
Oil palm,World,2011,0.972187656
Oil palm,World,2012,0.972774073
Oil palm,World,2013,0.970123237
Oiticica,World,2010,0.990564883
Oiticica,World,2011,0.989086308
Oiticica,World,2012,0.993334111
Oiticica,World,2013,0.994089094
Olives,World,2010,0.574496745
Olives,World,2011,0.578872755
Olives,World,2012,0.590331333
Olives,World,2013,0.586579067
Onions,World,2010,0.795226745
Onions,World,2011,0.807774813
Onions,World,2012,0.816588112
Onions,World,2013,0.812332444
Orache,World,2010,0.908998444
Orache,World,2011,0.904731195
Orache,World,2012,0.881354444
Orache,World,2013,0.857410052
Oranges,World,2010,0.933733862
Oranges,World,2011,0.929032798
Oranges,World,2012,0.930078685
Oranges,World,2013,0.933223011
Papayas,World,2010,0.966098093
Papayas,World,2011,0.951674971
Papayas,World,2012,0.944989638
Papayas,World,2013,0.948176618
Parsley,World,2010,0.895657491
Parsley,World,2011,0.906042737
Parsley,World,2012,0.908840472
Parsley,World,2013,0.914025747
Parsnip,World,2010,0.810302688
Parsnip,World,2011,0.815195768
Parsnip,World,2012,0.832815464
Parsnip,World,2013,0.839269915
Passionfruit,World,2010,0.999811244
Passionfruit,World,2011,0.999851242
Passionfruit,World,2012,0.999811021
Passionfruit,World,2013,0.999566457
Pawpaw,World,2010,0.955908304
Pawpaw,World,2011,0.962254875
Pawpaw,World,2012,0.958135886
Pawpaw,World,2013,0.958339322
Peaches and nectarines,World,2010,0.963265681
Peaches and nectarines,World,2011,0.969448031
Peaches and nectarines,World,2012,0.972038956
Peaches and nectarines,World,2013,0.968745255
Pearl millet,World,2010,0.925602422
Pearl millet,World,2011,0.925956133
Pearl millet,World,2012,0.913083023
Pearl millet,World,2013,0.955282866
Pears,World,2010,0.839283945
Pears,World,2011,0.841112518
Pears,World,2012,0.805034365
Pears,World,2013,0.824577125
Peas,World,2010,0.872454491
Peas,World,2011,0.873675946
Peas,World,2012,0.835120497
Peas,World,2013,0.876382865
Pecan,World,2010,0.840613298
Pecan,World,2011,0.875426367
Pecan,World,2012,0.886384844
Pecan,World,2013,0.867666287
Pepper,World,2010,0.962432375
Pepper,World,2011,0.95618863
Pepper,World,2012,0.95287677
Pepper,World,2013,0.955016596
Perilla,World,2010,0.92646749
Perilla,World,2011,0.829940313
Perilla,World,2012,0.77743787
Perilla,World,2013,0.902331082
Persimmons,World,2012,0.993503111
Persimmons,World,2013,0.99466926
Physic nut,World,2010,0.921003469
Physic nut,World,2011,0.922357627
Physic nut,World,2012,0.922363819
Physic nut,World,2013,0.969367379
Pili nut,World,2010,0.854162857
Pili nut,World,2011,0.847913369
Pili nut,World,2012,0.865766545
Pili nut,World,2013,0.914606488
Pine nut,World,2010,0.986364973
Pine nut,World,2011,0.984276274
Pine nut,World,2012,0.983807825
Pine nut,World,2013,0.967953219
Pineapples,World,2010,0.999433133
Pineapples,World,2011,0.99892759
Pineapples,World,2012,0.998626713
Pineapples,World,2013,0.999001863
Pistachios,World,2010,0.899868606
Pistachios,World,2011,0.851942772
Pistachios,World,2012,0.898549025
Pistachios,World,2013,0.889076482
Plantains,World,2012,0.999416475
Plantains,World,2013,0.998501166
Plums,World,2010,0.806194633
Plums,World,2011,0.780602641
Plums,World,2012,0.793270736
Plums,World,2013,0.783184268
Pomegranate,World,2010,0.94930431
Pomegranate,World,2011,0.948876058
Pomegranate,World,2012,0.941497344
Pomegranate,World,2013,0.927231993
Pongamia oil,World,2010,0.925871524
Pongamia oil,World,2011,0.829386299
Pongamia oil,World,2012,0.777375973
Pongamia oil,World,2013,0.901998272
Poppies,World,2010,0.976209039
Poppies,World,2011,0.976696823
Poppies,World,2012,0.966553357
Poppies,World,2013,0.972542112
Potatoes,World,2010,0.995421228
Potatoes,World,2011,0.995531939
Potatoes,World,2012,0.994386753
Potatoes,World,2013,0.99300629
Prickly pear,World,2010,0.997904557
Prickly pear,World,2011,0.998091161
Prickly pear,World,2012,0.997118921
Prickly pear,World,2013,0.997149665
Proso millet,World,2010,0.868428387
Proso millet,World,2011,0.825748425
Proso millet,World,2012,0.831969469
Proso millet,World,2013,0.839153147
Pumpkin,World,2012,0.99885077
Pumpkin,World,2013,0.997940792
Purging croton,World,2010,0.779410496
Purging croton,World,2011,0.653803321
