crop,country,year,fs_fat_supply_quantity,fs_food_supply_kcal,fs_food_supply_quantity_g,fs_protein_supply_quantity
Perilla,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Persimmons,World,2019,0.207107524,0.284179884,0.283479446,0.278917741
Physic nut,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Pigeonpeas,World,2019,0.150272913,0.152844122,0.153822816,0.153769139
Pili nut,World,2019,0.170110452,0.17497687,0.173017988,0.170603758
Pine nut,World,2019,0.170110452,0.17497687,0.173017988,0.170603758
Pineapples,World,2019,0.108781179,0.153405292,0.144510356,0.136375438
Pistachios,World,2019,0.175698892,0.180717239,0.178666126,0.176018412
Plantains,World,2019,0.069556754,0.064114728,0.067054195,0.065780264
Plums,World,2019,0.199763286,0.274102583,0.273426984,0.269027041
Pomegranate,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Pongamia oil,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Poppies,World,2019,0.04754038,0.049400804,0.053793743,0.050050261
Potatoes,World,2019,0.19322628,0.198392787,0.200950783,0.193184104
Prickly pear,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Proso millet,World,2019,0.030251535,0.030902044,0.029602955,0.032398934
Pumpkin,World,2019,0.253293237,0.262149002,0.256503815,0.258469939
Purging croton,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Pyrethrum,World,2019,NA,NA,NA,NA
Quinces,World,2019,0.20559579,0.282105578,0.281410253,0.276881845
Quinoa,World,2019,0.0983899,0.105667305,0.109749595,0.107206412
Radish,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Rambutan,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Ramie,World,2019,NA,NA,NA,NA
Rapeseed and Mustards,World,2019,0.065226826,0.065157993,0.065201531,0.028162203
Raspberries,World,2019,0.207616388,0.284878114,0.284175956,0.279603042
Rhubarb,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Rice (African),World,2019,0.144008382,0.171198583,0.169360281,0.169556231
Rice (Asian),World,2019,0.144008382,0.171198583,0.169360281,0.169556231
Rice bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Roselle,World,2019,NA,NA,NA,NA
"Rubber, natural",World,2019,NA,NA,NA,NA
Runner bean,World,2019,0.12797708,0.127111925,0.12729026,0.12682916
Rye,World,2019,0.04700019,0.048372568,0.049034587,0.04889811
Safflower,World,2019,0.05004777,0.051849157,0.056845124,0.052555694
Saffron,World,2019,0.151251545,0.152977838,0.156441019,0.1579976
Sago palm,World,2019,0.045695982,0.051830804,0.053645829,0.049791602
Salsify,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Sapodilla,World,2019,0.198267474,0.27234424,0.272007846,0.26734633
Savory,World,2019,0.243010327,0.251526951,0.246304579,0.247968789
Service tree,World,2019,0.191492959,0.263038628,0.262713728,0.258211489
Sesame,World,2019,0.103043766,0.101322649,0.100645177,0.081585916
Shala tree,World,2019,0.043176041,0.045119888,0.048904525,0.045464112
Sisal,World,2019,NA,NA,NA,NA
