"use","taxon"
"1","Prosopis laevigata (Humb. & Bonpl.) M.C. Johnston"
"1","Prunus americana Marsh."
"1","Prunus angustifolia Marsh."
"1","Prunus cerasifera Ehrh."
"1","Prunus cerasifera subsp. macrocarpa Erëmin & Garkov."
"1","Prunus domestica subsp. domestica"
"1","Prunus domestica subsp. rotunda Werneck"
"1","Prunus domestica subsp. syriaca (Borkh.) Janchen ex Mansfeld"
"1","Prunus domestica var. claudiana (Poiret) Werneck"
"1","Prunus domestica var. claudiana (Poiret) Werneck"
"1","Prunus domestica var. subrotunda (Bechst.) Werneck"
"1","Prunus domestica var. subrotunda (Bechst.) Werneck"
"1","Prunus maritima Marsh."
"1","Prunus munsoniana Wight & Hedrick ex Hedrick"
"1","Prunus nigra Aiton"
"1","Prunus salicina var. mandshurica (Skvorts.) Skvorts. & A. Baran."
"1","Prunus salicina var. salicina"
"1","Prunus simonii Carrière"
"1","Prunus spinosa L."
"1","Prunus subcordata Benth."
"1","Psophocarpus tetragonolobus (Stickm.) DC."
"1","Pteridium aquilinum var. latiusculum (Desv.) Underw. ex A. Heller"
"1","Pterocarpus santalinoides L'Hér. ex DC."
"1","Pterocarya stenoptera C. DC."
"1","Pueraria montana (Lour.) Merr."
"1","Pueraria montana var. lobata (Willd.) Maesen & Almeida"
"1","Pueraria phaseoloides (Roxb.) Benth."
"1","Pueraria tuberosa (Roxb. ex Willd.) DC."
"1","Pyrus communis L., , p.p., excl. var. pyraster"
"1","Pyrus pyrifolia (Burm.) Nakai"
"1","Pyrus salicifolia Pallas"
"1","Pyrus serrulata Rehder"
"1","Pyrus ussuriensis Maxim."
"1","Rheum emodi Wall."
"1","Rheum officinale Baill."
"1","Ribes americanum Mill."
"1","Ribes aureum Pursh"
"1","Ribes cynosbati L."
"1","Ribes divaricatum Dougl."
"1","Ribes fragrans Pall."
"1","Ribes hirtellum Michx."
"1","Ribes nigrum L."
"1","Ribes odoratum Wendland f. ex Bartling & Wendland f."
"1","Ribes rubrum L., sensu stricto"
"1","Ribes uva-crispa L."
"1","Ribes ×culverwellii Macfarlane"
"1","Ribes ×nidigrolaria R. Bauer & A. Bauer"
"1","Rollinia dolabripetala (Raddi) R.E. Fr."
"1","Rollinia emarginata Schltdl."
"1","Rollinia leptopetala R.E. Fr."
"1","Rollinia mucosa (Jacq.) Baill."
"1","Rollinia sylvatica (St.-Hil.) Mart."
"1","Rosa acicularis Lindl."
"1","Rosa beggeriana Schrenk ex Fisch. & Mey."
"1","Rosa californica Chamisso & Schltdl."
"1","Rosa canina L."
"1","Rosa davurica Pallas"
"1","Rosa foetida Herrm."
"1","Rosa gallica L."
"1","Rosa L."
"1","Rosa macrophylla Lindl."
"1","Rosa majalis Herrm."
"1","Rosa multiflora Thunb."
"1","Rosa odorata (Andrews) Sweet"
"1","Rosa rugosa Thunb."
"1","Rosa sericea Lindl."
"1","Rosa villosa L."
"1","Rubus acer var. subacer L.H. Bailey"
"1","Rubus adenothallus Focke"
"1","Rubus allegheniensis Porter"
"1","Rubus almus (L.H. Bailey) L.H. Bailey"
"1","Rubus arcticus L."
"1","Rubus argutus Link"
"1","Rubus armeniacus Focke"
"1","Rubus baileyanus Britt."
"1","Rubus bellobatus L.H. Bailey"
"1","Rubus brasiliensis Mart."
"1","Rubus caesius L."
"1","Rubus canadensis L."
"1","Rubus chamaemorus L."
"1","Rubus chingii Hu"
"1","Rubus corchorifolius L.f."
"1","Rubus crataegifolius Bunge"
"1","Rubus cuneifolius Pursh"
"1","Rubus elegantispinosus (A. Schum.) H.E. Weber"
"1","Rubus eriocarpus Liebm."
"1","Rubus escatilis L.H. Bailey"
"1","Rubus flagellaris Willd."
"1","Rubus frondosus (Torr.) Bigelow"
"1","Rubus glaucus Benth."
"1","Rubus idaeus L."
"1","Rubus illecebrosus Focke"
"1","Rubus laciniatus Willd."
"1","Rubus leucodermis Dougl. ex Torr. & Gray"
"1","Rubus louisianus Berger ex Hedrick & al."
"1","Rubus macrocarpus Benth."
"1","Rubus macropetalus Dougl. ex Hook."
"1","Rubus michiganensis (L.H. Bailey) L.H. Bailey"
"1","Rubus montanus Libert ex Lejeune"
"1","Rubus occidentalis L."
"1","Rubus parviflorus Nutt."
"1","Rubus probabilis L.H. Bailey"
"1","Rubus probus L.H. Bailey"
"1","Rubus rosa L.H. Bailey"
"1","Rubus roseus Poir."
"1","Rubus rosifolius Sm."
"1","Rubus sanctus Schreb."
"1","Rubus saxatilis L."
"1","Rubus serissimus L.H. Bailey"
"1","Rubus spectabilis Pursh"
"1","Rubus stellatus Sm."
"1","Rubus trifidus Thunb."
"1","Rubus ursinus Cham. & Schltdl."
"1","Rubus urticifolius Poir"
"1","Rubus velox L.H. Bailey"
"1","Rubus vitifolius Cham. & Schltdl."
"1","Rumex hymenosepalus Torr."
"1","Sarcomyxa serotina (Schrad.: Fr.) P. Karst."
"1","Senna occidentalis (L.) Link"
"1","Sesbania macrantha Welw. ex Phill. & Hutch."
"1","Sesbania rostrata Bremek. & Oberm."
"1","Siparuna guianensis Aublet"
"1","Sorbus aria (L.) Crantz"
"1","Sorbus aucuparia L."
"1","Sorbus aucuparia var. rossica Späth ex Koehne"
"1","Sorbus domestica L."
"1","Sorbus torminalis (L.) Crantz"
"1","Sorbus turkestanica (Franch.) Hedl."
"1","Sorbus ×intermedia (Ehrh.) Pers."
"1","Sorbus ×latifolia (Lam.) Pers."
"1","Sphenostylis stenocarpa (Hochst. ex Rich.) Harms"
"1","Spirulina P.J.F. Turpin ex Gomont"
"1","Spirulina platensis (Nordst.) Geitler"
"1","Stauntonia hexaphylla (Thunb.) Decne."
"1","Stelechocarpus burahol (Blume) Hook.f. & Thoms."
"1","Stenocereus pruinosus (Otto) F. Buxb."
"1","Stropharia rugoso-annulata"
"1","Tamarindus indica L."
"1","Torreya grandis Fortune"
"1","Torreya nucifera (L.) Siebold & Zucc."
"1","Treculia africana Decne. ex Trécul"
"1","Tremella fuciformis Berkeley"
"1","Tremella lutescens Pers."
"1","Tricholoma matsutake (S. Ito & Imai) Sing."
"1","Tuber aestivum Vitt."
"1","Tuber brumale Vitt."
"1","Tuber magnatum Pico"
"1","Tuber melanosporum Vitt."
"1","Tuber uncinatum Chatin"
"1","Ullucus tuberosus Lozano"
"1","Undaria W.F.R. Suringar"
"1","Ustilago maydis (DC.) Corda"
"1","Vicia faba L."
"1","Vicia faba var. minor Peterm., , p.p."
"1","Vicia monantha subsp. triflora (Ten.) Burtt & Lewis"
"1","Vigna glabrescens Maréchal"
"1","Vigna marina (Burm.) Merrill"
"1","Vigna subterranea (L.) Verdc."
"1","Volvariella volvaceae (Bull.: Fr.) Sing."
"1","Xymalos monospora (Harv.) Baill. ex Warburg"
"1","Yenia esculenta (Henn.) Liou"
