Item,Item_cleaned,Metric,Kingdom,Useable,Notes
Pulses,Pulses,Trade_crops_livestock,Plant,N,
"Pulses, nes","Pulses, nes",Production,Plant,N,
"Pulses, nes","Pulses, nes",Value of production,Plant,N,
"Pulses, Other and products","Pulses, Other and products",Commoditybalances,Plant,N,
"Pulses, Other and products","Pulses, Other and products",FoodSupply,Plant,N,
"Pulses,Total","Pulses,Total",Production,Plant,N,
Roots & Tuber Dry Equiv,Roots & Tuber Dry Equiv,Commoditybalances,Plant,N,
Roots & Tuber Dry Equiv,Roots & Tuber Dry Equiv,FoodSupply,Plant,N,
"Roots and tubers, nes","Roots and tubers, nes",Production,Plant,N,
"Roots and tubers, nes","Roots and tubers, nes",Trade_crops_livestock,Plant,N,
"Roots and tubers, nes","Roots and tubers, nes",Value of production,Plant,N,
"Roots and Tubers,Total","Roots and Tubers,Total",Production,Plant,N,
"Roots and Tubers,Total","Roots and Tubers,Total",Value of production,Plant,N,
"Roots, Other","Roots, Other",Commoditybalances,Plant,N,
"Roots, Other","Roots, Other",FoodSupply,Plant,N,
Rubber,Rubber,Commoditybalances,Plant,N,
"Soft-Fibres, Other","Soft-Fibres, Other",Commoditybalances,Plant,N,
Spices,Spices,Commoditybalances,Plant,N,
Spices,Spices,FoodSupply,Plant,N,
"Spices, nes","Spices, nes",Production,Plant,N,
"Spices, nes","Spices, nes",Trade_crops_livestock,Plant,N,
"Spices, nes","Spices, nes",Value of production,Plant,N,
"Spices, Other","Spices, Other",Commoditybalances,Plant,N,
"Spices, Other","Spices, Other",FoodSupply,Plant,N,
Starchy Roots,Starchy Roots,Commoditybalances,Plant,N,
Starchy Roots,Starchy Roots,FoodSupply,Plant,N,
Stimulants,Stimulants,Commoditybalances,Plant,N,
Stimulants,Stimulants,FoodSupply,Plant,N,
Straw husks,Straw husks,Trade_crops_livestock,Plant,N,
Sugar & Sweeteners,Sugar & Sweeteners,Commoditybalances,Plant,N,
Sugar & Sweeteners,Sugar & Sweeteners,FoodSupply,Plant,N,
Sugar confectionery,Sugar confectionery,Trade_crops_livestock,Plant,N,
"Sugar crops, nes","Sugar crops, nes",Production,Plant,N,
"Sugar crops, nes","Sugar crops, nes",Trade_crops_livestock,Plant,N,
"Sugar crops, nes","Sugar crops, nes",Value of production,Plant,N,
Sugar non-centrifugal,Sugar non-centrifugal,Commoditybalances,Plant,N,
Sugar non-centrifugal,Sugar non-centrifugal,FoodSupply,Plant,N,
Sugar non-centrifugal,Sugar non-centrifugal,Trade_crops_livestock,Plant,N,
Sugar Raw Centrifugal,Sugar Raw Centrifugal,Trade_crops_livestock,Plant,N,
Sugar refined,Sugar refined,Trade_crops_livestock,Plant,N,
"Sugar, nes","Sugar, nes",Trade_crops_livestock,Plant,N,
"Sugar, raw","Sugar, raw",Value of production,Plant,N,
"Sugar, Raw Equivalent","Sugar, Raw Equivalent",Commoditybalances,Plant,N,
"Sugar, Raw Equivalent","Sugar, Raw Equivalent",FoodSupply,Plant,N,
"Sugar, Refined Equiv","Sugar, Refined Equiv",Commoditybalances,Plant,N,
"Sugar, Refined Equiv","Sugar, Refined Equiv",FoodSupply,Plant,N,
"Sugar,Total (Raw Equiv.)","Sugar,Total (Raw Equiv.)",Trade_crops_livestock,Plant,N,
"Sweeteners, Other","Sweeteners, Other",Commoditybalances,Plant,N,
"Sweeteners, Other","Sweeteners, Other",FoodSupply,Plant,N,
Textile Fibres,Textile Fibres,Trade_crops_livestock,Plant,N,
Total Merchandise Trade,Total Merchandise Trade,Trade_crops_livestock,Plant,N,
Treenuts,Treenuts,Commoditybalances,Plant,N,
Treenuts,Treenuts,FoodSupply,Plant,N,
"Treenuts,Total","Treenuts,Total",Production,Plant,N,
Vegetable Oils,Vegetable Oils,Commoditybalances,Plant,N,
Vegetable Oils,Vegetable Oils,FoodSupply,Plant,N,
Vegetable tallow,Vegetable tallow,Trade_crops_livestock,Plant,N,
Vegetables,Vegetables,Commoditybalances,Plant,N,
Vegetables,Vegetables,FoodSupply,Plant,N,
Vegetables and Fruit Primary,Vegetables and Fruit Primary,Value of production,Plant,N,
Vegetables in vinegar,Vegetables in vinegar,Trade_crops_livestock,Plant,N,
Vegetables Primary,Vegetables Primary,Production,Plant,N,
"Vegetables, canned nes","Vegetables, canned nes",Trade_crops_livestock,Plant,N,
"Vegetables, dehydrated","Vegetables, dehydrated",Trade_crops_livestock,Plant,N,
"Vegetables, dried nes","Vegetables, dried nes",Trade_crops_livestock,Plant,N,
"Vegetables, fresh nes","Vegetables, fresh nes",Production,Plant,N,
"Vegetables, fresh nes","Vegetables, fresh nes",Trade_crops_livestock,Plant,N,
"Vegetables, fresh nes","Vegetables, fresh nes",Value of production,Plant,N,
"Vegetables, fresh or dried products nes","Vegetables, fresh or dried products nes",Trade_crops_livestock,Plant,N,
"Vegetables, frozen","Vegetables, frozen",Trade_crops_livestock,Plant,N,
"Vegetables, homogenized preparations","Vegetables, homogenized preparations",Trade_crops_livestock,Plant,N,
"Vegetables, leguminous nes","Vegetables, leguminous nes",Production,Plant,N,
"Vegetables, leguminous nes","Vegetables, leguminous nes",Value of production,Plant,N,
"Vegetables, Other","Vegetables, Other",Commoditybalances,Plant,N,
"Vegetables, Other","Vegetables, Other",FoodSupply,Plant,N,
"Vegetables, preserved nes","Vegetables, preserved nes",Trade_crops_livestock,Plant,N,
"Vegetables, preserved, frozen","Vegetables, preserved, frozen",Trade_crops_livestock,Plant,N,
"Vegetables, temporarily preserved","Vegetables, temporarily preserved",Trade_crops_livestock,Plant,N,
Vegetal Products,Vegetal Products,FoodSupply,Plant,N,
Vermouths & similar,Vermouths & similar,Trade_crops_livestock,Plant,N,
Vitamins,Vitamins,Trade_crops_livestock,Plant,N,
Wafers,Wafers,Trade_crops_livestock,Plant,N,
"Waters,ice etc","Waters,ice etc",Trade_crops_livestock,Plant,N,
Waxes vegetable,Waxes vegetable,Trade_crops_livestock,Plant,N,
Abaca,Abaca,Commoditybalances,Plant,Y,
Agave fibres nes,Agave,Production,Plant,Y,
Agave fibres nes,Agave,Value of production,Plant,Y,
Alfalfa meal and pellets,Alfalfa,Trade_crops_livestock,Plant,Y,
Almonds shelled,Almonds  ,Trade_crops_livestock,Plant,Y,
"Almonds, with shell",Almonds  ,Production,Plant,Y,
"Almonds, with shell",Almonds  ,Value of production,Plant,Y,
