Item,Item_cleaned,Metric,Useable
Pulses,Pulses,faostat-crops_lives_products,N
"Pulses,Total","Pulses,Total",faostat-crops,N
Rice (Paddy Equivalent),Rice,faostat-commodity_balances,N
Rice (Paddy Equivalent),Rice,faostat-food_supply,N
"Rice, paddy",Rice,faostat-crops,N
Rice - total (Rice milled equivalent),Rice,faostat-crops_lives_products,N
Roots & Tuber Dry Equiv,Roots & Tuber Dry Equiv,faostat-commodity_balances,N
Roots & Tuber Dry Equiv,Roots & Tuber Dry Equiv,faostat-food_supply,N
"Roots and Tubers,Total","Roots and Tubers,Total",faostat-crops,N
"Roots and Tubers,Total","Roots and Tubers,Total",faostat-value_agricultural_production,N
"Soft-Fibres, Other","Soft-Fibres, Other",faostat-commodity_balances,N
Spices,Spices,faostat-commodity_balances,N
Spices,Spices,faostat-food_supply,N
Starchy Roots,Starchy Roots,faostat-commodity_balances,N
Starchy Roots,Starchy Roots,faostat-food_supply,N
Straw husks,Straw husks,faostat-crops_lives_products,N
Sugar Crops,Sugar,faostat-commodity_balances,N
Sugar Crops,Sugar,faostat-food_supply,N
Sugar and Honey,Sugar,faostat-crops_lives_products,N
Sugar & Sweeteners,Sugar & Sweeteners,faostat-commodity_balances,N
Sugar & Sweeteners,Sugar & Sweeteners,faostat-food_supply,N
Sugar confectionery,Sugar confectionery,faostat-crops_lives_products,N
Sugar non-centrifugal,Sugar non-centrifugal,faostat-commodity_balances,N
Sugar non-centrifugal,Sugar non-centrifugal,faostat-food_supply,N
Sugar non-centrifugal,Sugar non-centrifugal,faostat-crops_lives_products,N
Sugar Raw Centrifugal,Sugar Raw Centrifugal,faostat-crops_lives_products,N
Sugar refined,Sugar refined,faostat-crops_lives_products,N
"Sugar, nes","Sugar, nes",faostat-crops_lives_products,N
"Sugar, raw","Sugar, raw",faostat-value_agricultural_production,N
"Sugar, Raw Equivalent","Sugar, Raw Equivalent",faostat-commodity_balances,N
"Sugar, Raw Equivalent","Sugar, Raw Equivalent",faostat-food_supply,N
"Sugar, Refined Equiv","Sugar, Refined Equiv",faostat-commodity_balances,N
"Sugar, Refined Equiv","Sugar, Refined Equiv",faostat-food_supply,N
"Sugar,Total (Raw Equiv.)","Sugar,Total (Raw Equiv.)",faostat-crops_lives_products,N
Textile Fibres,Textile Fibres,faostat-crops_lives_products,N
Total Merchandise Trade,Total Merchandise Trade,faostat-crops_lives_products,N
"Treenuts,Total","Treenuts,Total",faostat-crops,N
Vegetable Oils,Vegetable Oils,faostat-commodity_balances,N
Vegetable Oils,Vegetable Oils,faostat-food_supply,N
Vegetable tallow,Vegetable tallow,faostat-crops_lives_products,N
Vegetables,Vegetables,faostat-commodity_balances,N
Vegetables,Vegetables,faostat-food_supply,N
Vegetables and Fruit Primary,Vegetables and Fruit Primary,faostat-value_agricultural_production,N
Vegetables in vinegar,Vegetables in vinegar,faostat-crops_lives_products,N
Vegetables Primary,Vegetables Primary,faostat-crops,N
"Vegetables, canned nes","Vegetables, canned nes",faostat-crops_lives_products,N
"Vegetables, dehydrated","Vegetables, dehydrated",faostat-crops_lives_products,N
"Vegetables, dried nes","Vegetables, dried nes",faostat-crops_lives_products,N
"Vegetables, fresh or dried products nes","Vegetables, fresh or dried products nes",faostat-crops_lives_products,N
"Vegetables, frozen","Vegetables, frozen",faostat-crops_lives_products,N
"Vegetables, homogenized preparations","Vegetables, homogenized preparations",faostat-crops_lives_products,N
"Vegetables, leguminous nes","Vegetables, leguminous nes",faostat-crops,N
"Vegetables, leguminous nes","Vegetables, leguminous nes",faostat-value_agricultural_production,N
"Vegetables, preserved nes","Vegetables, preserved nes",faostat-crops_lives_products,N
"Vegetables, preserved, frozen","Vegetables, preserved, frozen",faostat-crops_lives_products,N
"Vegetables, temporarily preserved","Vegetables, temporarily preserved",faostat-crops_lives_products,N
Vegetal Products,Vegetal Products,faostat-food_supply,N
Vermouths & similar,Vermouths & similar,faostat-crops_lives_products,N
Vitamins,Vitamins,faostat-crops_lives_products,N
Wafers,Wafers,faostat-crops_lives_products,N
"Waters,ice etc","Waters,ice etc",faostat-crops_lives_products,N
Waxes vegetable,Waxes vegetable,faostat-crops_lives_products,N
Abaca,Abaca,faostat-commodity_balances,Y
Manila fibre (abaca),Abaca,faostat-crops,Y
Manila fibre (abaca),Abaca,faostat-crops_lives_products,Y
Manila fibre (abaca),Abaca,faostat-value_agricultural_production,Y
Agave fibres nes,Agave fibres nes,faostat-crops,Y
Agave fibres nes,Agave fibres nes,faostat-value_agricultural_production,Y
Alfalfa meal and pellets,Alfalfa,faostat-crops_lives_products,Y
"Almonds, with shell",Almonds,faostat-crops,Y
Almonds shelled,Almonds,faostat-crops_lives_products,Y
"Almonds, with shell",Almonds,faostat-value_agricultural_production,Y
"Anise, badian, fennel, coriander","Anise, badian, fennel, coriander",faostat-crops,Y
"Anise, badian, fennel, coriander","Anise, badian, fennel, coriander",faostat-crops_lives_products,Y
"Anise, badian, fennel, coriander","Anise, badian, fennel, coriander",faostat-value_agricultural_production,Y
Apples and products,Apples,faostat-commodity_balances,Y
Apples and products,Apples,faostat-food_supply,Y
Apples,Apples,faostat-crops,Y
Apples,Apples,faostat-crops_lives_products,Y
Apples,Apples,faostat-value_agricultural_production,Y
Apricots,Apricots,faostat-crops,Y
Apricots,Apricots,faostat-crops_lives_products,Y
"Apricots, dry",Apricots,faostat-crops_lives_products,Y
Apricots,Apricots,faostat-value_agricultural_production,Y
Areca nuts,Areca nuts,faostat-crops,Y
Areca nuts,Areca nuts,faostat-value_agricultural_production,Y
Artichokes,Artichokes,faostat-crops,Y
Artichokes,Artichokes,faostat-crops_lives_products,Y
Artichokes,Artichokes,faostat-value_agricultural_production,Y
Asparagus,Asparagus,faostat-crops,Y
Asparagus,Asparagus,faostat-crops_lives_products,Y
Asparagus,Asparagus,faostat-value_agricultural_production,Y
Avocados,Avocados,faostat-crops,Y
Avocados,Avocados,faostat-crops_lives_products,Y
Avocados,Avocados,faostat-value_agricultural_production,Y
Bambara beans,Bambara beans,faostat-crops,Y
Bambara beans,Bambara beans,faostat-crops_lives_products,Y
Bambara beans,Bambara beans,faostat-value_agricultural_production,Y
Bananas,Bananas,faostat-commodity_balances,Y
Bananas,Bananas,faostat-food_supply,Y
Bananas,Bananas,faostat-crops,Y
Bananas,Bananas,faostat-crops_lives_products,Y
Bananas,Bananas,faostat-value_agricultural_production,Y
Barley and products,Barley,faostat-commodity_balances,Y
Barley and products,Barley,faostat-food_supply,Y
Barley,Barley,faostat-crops,Y
Barley,Barley,faostat-crops_lives_products,Y
"Barley, pearled",Barley,faostat-crops_lives_products,Y
Beer of barley,Barley,faostat-crops_lives_products,Y
Barley,Barley,faostat-value_agricultural_production,Y
"Bastfibres, other","Bastfibres, other",faostat-crops,Y
"Bastfibres, other","Bastfibres, other",faostat-value_agricultural_production,Y
Beans,Beans,faostat-commodity_balances,Y
Beans,Beans,faostat-food_supply,Y
"Beans, dry",Beans,faostat-crops,Y
"Beans, green",Beans,faostat-crops,Y
String beans,Beans,faostat-crops,Y
"Beans, dry",Beans,faostat-crops_lives_products,Y
"Beans, green",Beans,faostat-crops_lives_products,Y
"Beans, dry",Beans,faostat-value_agricultural_production,Y
"Beans, green",Beans,faostat-value_agricultural_production,Y
String beans,Beans,faostat-value_agricultural_production,Y
Beet pulp,Beets,faostat-crops_lives_products,Y
Berries nes,"Berries, nes",faostat-crops,Y
Berries nes,"Berries, nes",faostat-value_agricultural_production,Y
Blueberries,Blueberries,faostat-crops,Y
Blueberries,Blueberries,faostat-crops_lives_products,Y
Blueberries,Blueberries,faostat-value_agricultural_production,Y
"Brazil nuts, with shell",Brazil nuts,faostat-crops,Y
"Brazil nuts, shelled",Brazil nuts,faostat-crops_lives_products,Y
"Brazil nuts, with shell",Brazil nuts,faostat-value_agricultural_production,Y
Buckwheat,Buckwheat,faostat-crops,Y
"Bran, buckwheat",Buckwheat,faostat-crops_lives_products,Y
Buckwheat,Buckwheat,faostat-crops_lives_products,Y
